,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
17840,49,M,1.0,89,42480,1,0,Own,85072,1/10/2015,Saturday,Parking Lot,3,0.0,68,Online,1,7333.56,7,Large,45991.1223531065,silver,14026.38478
17444,79,M,1.0,50,71867,1,1,Own,20116,9/25/2015,Friday,Parking Lot,0,0.0,19,Broker,1,0.0,10,Medium,15000.0,white,24076.31866
16601,29,F,1.0,84,102497,0,1,Rent,15017,12/28/2015,Monday,Parking Lot,12,0.0,87,Phone,0,242.18,3,Large,28194.74816160501,blue,9262.558804
17418,34,M,1.0,76,37995,0,0,Rent,85025,10/27/2016,Thursday,Local,0,1.0,75,Phone,1,0.0,1,Large,15000.0,silver,8456.480911
10228,47,F,1.0,89,35242,1,1,Rent,20163,7/25/2016,Monday,Parking Lot,12,0.0,21,Broker,0,1528.54,1,Medium,15396.406269983165,blue,18626.544
11492,45,F,1.0,35,32836,1,1,Own,85019,8/21/2016,Sunday,Local,0,0.0,16,Phone,0,0.0,1,Compact,28850.33148952413,blue,19938.89175
3543,38,F,0.0,78,65301,1,0,Own,15035,3/26/2015,Thursday,Local,3,0.0,0,Broker,0,2896.71,1,Medium,81124.64251276437,red,16460.40295
11900,29,M,0.0,73,46598,0,1,Rent,50048,9/13/2015,Sunday,Local,4,0.0,16,Online,0,0.0,8,Large,15000.0,silver,21625.66512
11878,42,M,1.0,70,96641,0,0,Own,15037,3/6/2016,Sunday,Parking Lot,10,0.0,94,Broker,1,1267.17,7,Large,34535.84052319513,blue,19630.1715
13550,38,F,1.0,69,85240,1,0,Rent,85072,8/16/2016,Tuesday,Local,0,0.0,89,Broker,1,4913.04,7,Large,15000.0,red,23521.1527
3330,51,F,1.0,70,74180,1,1,Own,80028,10/17/2016,Monday,Parking Lot,0,0.0,39,Broker,1,0.0,1,Medium,50864.43818287319,gray,21278.40962
7347,40,F,1.0,81,117548,1,1,Own,15005,2/6/2015,Friday,Highway,0,0.0,39,Online,0,0.0,1,Compact,18098.676978122607,gray,17129.86952
2989,46,F,1.0,72,48404,0,1,Own,80011,8/27/2016,Saturday,Local,0,1.0,8,Online,1,0.0,1,Large,15000.0,silver,26918.742210000004
2805,45,M,0.0,59,64765,1,0,Own,85046,11/23/2016,Wednesday,Parking Lot,3,0.0,50,Online,1,0.0,14,Large,37250.47868843479,black,14757.81444
14366,52,F,1.0,55,95992,1,0,Own,85077,7/26/2015,Sunday,Local,10,0.0,22,Broker,1,3459.92,7,Compact,63168.18876741063,red,24935.05322
1499,22,M,1.0,85,64167,1,1,Rent,15012,2/29/2016,Monday,Highway,4,0.0,11,Online,1,0.0,1,Large,15000.0,white,39592.7468
16739,52,F,0.0,91,32517,0,1,Own,85073,8/9/2015,Sunday,Highway,0,0.0,55,Broker,1,0.0,3,Medium,15000.0,red,15560.445069999998
15165,42,M,0.0,83,108339,0,1,Own,20149,11/1/2016,Tuesday,Local,0,0.0,100,Broker,1,0.0,1,Large,15000.0,gray,28203.91494
16270,57,F,1.0,11,118000,1,0,Own,20160,8/22/2015,Saturday,Local,0,1.0,21,Phone,1,0.0,1,Medium,15000.0,blue,9819.254401
16089,53,F,0.0,72,75155,0,0,Own,85033,5/6/2015,Wednesday,Highway,3,0.0,8,Broker,1,5616.58,1,Compact,67391.14629240881,gray,25290.32356
12165,39,F,1.0,74,113489,0,0,Rent,80031,12/3/2016,Saturday,Local,1,0.0,99,Phone,1,2046.75,2,Large,15000.0,black,20909.54761
1740,47,F,1.0,93,90353,0,0,Own,15001,2/22/2016,Monday,Local,1,0.0,100,Broker,0,0.0,1,Compact,15000.0,blue,25025.52305
16485,60,M,1.0,81,33116,1,1,Own,50002,4/22/2016,Friday,Local,8,1.0,55,Broker,0,0.0,1,Large,15000.0,black,22785.84191
3680,44,F,0.0,56,63645,1,0,Own,80016,5/18/2016,Wednesday,Parking Lot,0,0.0,97,Broker,0,0.0,1,Compact,47849.889914713975,gray,25045.3303
12082,33,M,0.0,77,101087,1,1,Rent,15001,10/22/2016,Saturday,Local,3,0.0,22,Phone,0,8107.83,1,Compact,26469.66697992587,white,22338.93711
11000,29,M,0.0,22,94728,1,0,Rent,85027,1/16/2016,Saturday,Local,0,0.0,96,Online,1,8578.13,1,Medium,15000.0,other,36214.76124
16005,30,F,0.0,86,97570,1,1,Rent,15055,7/27/2016,Wednesday,Parking Lot,0,0.0,66,Phone,1,1998.91,1,Compact,15000.0,red,39847.858060000006
13955,67,F,1.0,87,88439,1,1,Own,50047,11/27/2016,Sunday,Parking Lot,20,0.0,7,Broker,1,6910.92,1,Large,73107.35758017734,red,24392.43228
6153,38,M,1.0,69,60564,0,1,Rent,85006,9/4/2016,Sunday,Local,7,0.0,4,Phone,0,3784.9,1,Large,15000.0,blue,27130.06729
3469,49,M,1.0,54,51502,1,1,Own,15005,4/19/2016,Tuesday,Highway,0,0.0,0,Broker,1,0.0,1,Compact,62963.21525533607,gray,23282.53042
5566,43,F,1.0,80,39757,1,0,Rent,20147,10/11/2015,Sunday,Local,0,0.0,44,Phone,0,0.0,1,Compact,15000.0,red,16051.56345
11405,55,F,1.0,60,69104,1,0,Own,85022,9/2/2015,Wednesday,Local,0,1.0,96,Broker,1,9932.38,9,Compact,57805.515802040645,white,18089.53933
6716,42,F,1.0,72,85334,1,1,Rent,20152,6/20/2016,Monday,Highway,0,1.0,4,Broker,1,0.0,1,Compact,18593.639240017823,black,35957.6542
9783,35,F,1.0,68,116274,1,1,Own,50049,11/19/2015,Thursday,Parking Lot,0,0.0,90,Broker,0,1474.11,1,Medium,15000.0,other,5071.5719850000005
2455,38,F,0.0,71,39005,0,0,Own,20134,3/28/2016,Monday,Local,5,1.0,50,Broker,0,0.0,1,Compact,72699.22132398335,white,11985.31719
15002,57,F,1.0,98,74053,0,1,Rent,50034,2/8/2015,Sunday,Highway,0,0.0,80,Broker,1,0.0,1,Large,58847.78521777471,red,49828.91553
7636,52,M,1.0,83,107945,1,0,Own,50001,5/4/2016,Wednesday,Local,5,0.0,6,Phone,0,0.0,1,Compact,50542.93364487543,gray,40851.42942
5070,85,F,1.0,81,121478,1,1,Rent,15044,1/18/2015,Sunday,Parking Lot,0,0.0,47,Phone,1,2081.92,9,Compact,44120.486746547664,white,16765.69798
5003,56,M,1.0,82,35663,1,1,Own,50048,12/10/2015,Thursday,Local,0,0.0,50,Broker,0,0.0,1,Large,15000.0,other,36471.38517
46,73,M,0.0,76,107972,1,1,Own,20140,7/3/2015,Friday,Highway,3,0.0,52,Broker,0,0.0,1,Large,15000.0,red,25000.65622
5989,50,M,1.0,76,123865,1,1,Own,15020,2/14/2015,Saturday,Parking Lot,0,0.0,28,Broker,1,0.0,1,Compact,36946.20948485485,red,51530.76153
7757,46,F,1.0,83,115643,0,1,Rent,50020,9/20/2015,Sunday,Local,0,0.0,52,Broker,0,0.0,1,Compact,15000.0,silver,42328.01821
11653,44,M,0.0,54,33768,1,1,Own,20163,11/14/2016,Monday,Highway,7,0.0,55,Phone,1,0.0,1,Large,15000.0,other,34522.93073
15041,41,F,1.0,58,31832,1,1,Own,20131,11/11/2016,Friday,Local,1,0.0,93,Broker,0,0.0,11,Large,15000.0,silver,12711.05729
17852,43,M,0.0,71,101878,1,1,Own,20141,10/21/2016,Friday,Local,2,1.0,41,Phone,1,2353.49,1,Large,57731.38347322328,red,15301.66465
4452,59,F,0.0,64,90233,1,0,Own,50025,10/30/2016,Sunday,Local,3,0.0,100,Broker,1,2910.98,6,Medium,29246.743306148343,blue,14791.88661
2314,48,M,0.0,69,123787,1,1,Own,15012,7/23/2015,Thursday,Parking Lot,11,0.0,8,Phone,0,8646.1,1,Large,74578.2681872083,black,42413.5808
15701,32,M,0.0,78,65393,1,1,Own,15009,5/27/2016,Friday,Local,0,0.0,86,Phone,1,0.0,1,Large,47183.29717999774,silver,29391.35789
8355,33,F,0.0,90,92857,1,0,Rent,85027,3/26/2015,Thursday,Local,0,0.0,46,Broker,1,2846.66,8,Large,36279.04517205086,other,14192.2538
123,43,F,1.0,68,60756,1,1,Own,15001,5/7/2016,Saturday,Parking Lot,0,0.0,99,Broker,1,0.0,2,Compact,37926.01758443484,white,17616.26402
7922,53,M,0.0,89,107124,1,0,Own,15010,4/28/2016,Thursday,Local,12,1.0,48,Broker,1,0.0,1,Medium,15000.0,red,20335.81366
9558,32,F,1.0,90,38092,1,0,Own,50025,6/6/2016,Monday,Local,30,0.0,16,Phone,0,0.0,1,Compact,15000.0,gray,6212.239184
8697,55,M,1.0,62,48544,0,1,Own,80015,12/12/2016,Monday,Parking Lot,0,0.0,59,Broker,1,2156.78,3,Medium,16093.44132202956,red,9714.371111
13324,35,M,1.0,66,83432,0,1,Own,50048,10/27/2015,Tuesday,Highway,1,1.0,50,Broker,0,2558.84,1,Large,51509.91123847936,white,20441.3305
547,31,M,1.0,87,49785,1,0,Rent,15012,9/20/2015,Sunday,Parking Lot,0,0.0,26,Broker,1,0.0,14,Large,15000.0,white,25938.14582
14220,25,M,1.0,85,68944,1,0,Rent,20141,9/30/2016,Friday,Local,15,0.0,92,Phone,1,2784.49,1,Medium,44297.349798865725,silver,16243.423180000002
3982,46,F,0.0,49,51764,1,1,Rent,15009,6/7/2016,Tuesday,Parking Lot,0,0.0,1,Phone,1,0.0,1,Compact,15000.0,silver,18832.88285
9343,26,M,1.0,79,89987,1,0,Rent,50005,2/22/2015,Sunday,Local,0,1.0,0,Broker,1,0.0,1,Medium,15000.0,red,40046.89003
14661,45,F,1.0,89,123080,0,1,Rent,15022,12/27/2016,Tuesday,Parking Lot,3,1.0,26,Phone,1,9085.8,1,Compact,42616.29692085686,other,34511.7414
10928,51,F,0.0,86,102910,0,0,Own,20134,5/28/2016,Saturday,Local,0,0.0,30,Online,0,4824.73,9,Compact,15000.0,gray,35391.94851
11670,41,F,1.0,86,36741,1,0,Own,15001,4/20/2016,Wednesday,Parking Lot,21,0.0,49,Phone,1,1182.31,5,Large,49677.923095916194,red,14895.206069999998
15278,25,F,1.0,80,67528,0,0,Rent,20152,10/11/2015,Sunday,Local,0,1.0,1,Online,0,0.0,1,Compact,17251.617880889036,silver,11742.0086
1645,27,M,0.0,89,102172,1,1,Rent,50013,1/12/2015,Monday,Parking Lot,0,0.0,40,Online,1,2185.04,6,Medium,72958.17631132569,other,15049.80099
17415,45,M,0.0,91,108429,1,1,Rent,80044,8/31/2015,Monday,Local,12,1.0,10,Broker,1,0.0,1,Compact,28050.77355183909,white,66445.48258
1461,48,M,1.0,80,95365,1,1,Rent,50021,2/8/2016,Monday,Local,7,1.0,12,Broker,0,116.17,1,Large,15000.0,gray,24700.17949
6546,41,F,1.0,91,37147,0,1,Own,50055,2/10/2016,Wednesday,Highway,11,0.0,97,Broker,1,0.0,1,Large,19639.784611248568,black,28760.93332
3477,40,M,1.0,90,109423,0,1,Own,15025,7/25/2016,Monday,Parking Lot,0,0.0,47,Broker,1,6118.77,14,Medium,55436.58394198805,black,17428.69219
13626,31,F,1.0,91,53984,0,0,Own,20146,1/23/2015,Friday,Parking Lot,20,0.0,72,Phone,0,7637.14,1,Large,15000.0,silver,9533.580677
11491,39,M,1.0,81,37505,0,1,Own,20113,2/19/2016,Friday,Local,0,1.0,27,Broker,1,0.0,3,Compact,15819.842600229547,gray,19183.71469
15191,26,F,1.0,94,31551,1,1,Own,80105,7/10/2016,Sunday,Local,0,0.0,81,Online,1,0.0,1,Large,15000.0,blue,33910.232039999995
10258,42,M,1.0,84,88405,1,1,Own,80006,8/7/2016,Sunday,Local,4,0.0,1,Phone,1,0.0,1,Compact,86225.39032035228,blue,19846.86867
9495,35,M,0.0,87,50283,0,0,Own,80030,12/26/2015,Saturday,Local,18,0.0,49,Broker,0,416.59,1,Medium,15000.0,silver,26031.83629
962,35,F,1.0,82,53591,0,1,Own,80002,4/12/2016,Tuesday,Parking Lot,0,0.0,84,Phone,1,9684.58,6,Compact,36190.22436162873,red,21271.45253
1056,48,M,1.0,96,44746,1,0,Own,20122,10/24/2016,Monday,Local,0,0.0,50,Broker,1,635.76,8,Large,21564.508983680214,white,29555.86563
189,45,F,1.0,84,116179,1,0,Own,85066,8/3/2015,Monday,Parking Lot,10,0.0,100,Broker,0,1124.94,1,Compact,15000.0,white,31461.90752
5265,70,M,1.0,67,33553,1,0,Own,20105,1/8/2016,Friday,Local,0,0.0,98,Broker,1,0.0,9,Compact,29746.877555379564,black,10434.2906
16850,63,M,1.0,80,53511,0,0,Own,80101,3/26/2015,Thursday,Local,0,0.0,6,Broker,1,0.0,1,Large,15000.0,blue,35631.73108
5055,38,F,1.0,56,114291,1,1,Own,0,5/12/2015,Tuesday,Highway,0,1.0,16,Broker,0,0.0,1,Compact,54490.5377581552,other,17776.31652
6180,41,M,0.0,91,39954,1,0,Own,85013,12/12/2015,Saturday,Local,0,0.0,4,Broker,0,9027.91,1,Medium,65242.26280954586,red,21357.91841
7575,40,M,1.0,81,66036,0,1,Own,15042,5/28/2015,Thursday,Local,3,0.0,10,Broker,0,6497.25,1,Medium,50658.85376124611,black,17453.127419999997
8586,34,F,1.0,84,69348,1,0,Own,50014,9/8/2016,Thursday,Highway,0,0.0,58,Online,1,0.0,1,Compact,15000.0,red,23336.99516
13277,27,F,0.0,89,105350,0,0,Rent,15046,4/28/2016,Thursday,Highway,0,1.0,3,Online,1,0.0,1,Large,15000.0,other,17655.897719999997
12819,42,F,1.0,79,80538,1,1,Own,50021,11/2/2015,Monday,Parking Lot,1,1.0,73,Broker,0,4847.77,5,Large,15000.0,black,14637.5475
7219,28,M,0.0,61,57045,0,0,Rent,20109,1/29/2015,Thursday,Parking Lot,0,1.0,32,Phone,1,0.0,7,Medium,15000.0,red,25795.44248
6397,37,F,1.0,78,111780,1,1,Own,50034,12/2/2016,Friday,Parking Lot,1,1.0,100,Broker,1,0.0,1,Medium,15000.0,blue,20631.75509
16451,36,M,1.0,67,87890,0,0,Rent,85030,5/18/2016,Wednesday,Local,0,0.0,61,Broker,0,0.0,2,Large,15000.0,red,18858.75304
17317,62,M,1.0,67,54442,1,0,Own,50009,1/2/2016,Saturday,Highway,0,0.0,65,Phone,0,5244.5,1,Large,15000.0,black,17446.564440000002
2311,48,M,1.0,76,43079,1,1,Rent,80003,7/4/2015,Saturday,Parking Lot,0,0.0,61,Phone,0,1601.25,1,Compact,54822.2111130526,gray,11630.28706
17314,46,M,1.0,49,53831,0,0,Own,50042,11/25/2015,Wednesday,Parking Lot,3,0.0,5,Broker,0,0.0,11,Large,15000.0,black,42514.51878
13793,45,F,0.0,86,90750,1,0,Own,50039,6/3/2015,Wednesday,Parking Lot,0,0.0,0,Online,1,0.0,2,Compact,20986.71438510111,white,11908.65165
16223,81,M,0.0,84,60878,1,0,Own,80046,9/19/2016,Monday,Parking Lot,0,0.0,58,Broker,1,0.0,1,Compact,15000.0,red,10663.32282
462,30,F,1.0,63,106514,1,0,Own,15019,9/20/2015,Sunday,Local,0,0.0,4,Phone,1,0.0,1,Large,25429.06542244955,white,43254.45287
11390,49,F,1.0,53,72758,1,1,Rent,20102,11/25/2016,Friday,Local,17,1.0,19,Broker,1,12404.79,9,Medium,30597.45277735172,black,5889.051853
4887,35,M,0.0,72,34861,0,1,Own,80101,1/23/2015,Friday,Parking Lot,0,0.0,80,Phone,0,736.13,1,Compact,15000.0,white,14264.72771
10713,53,M,1.0,80,100112,0,0,Rent,85021,5/13/2015,Wednesday,Parking Lot,0,0.0,87,Phone,1,0.0,4,Compact,32204.81328897115,other,22971.16038
880,73,M,1.0,64,95647,1,1,Own,20148,3/4/2015,Wednesday,Parking Lot,0,0.0,0,Phone,0,0.0,6,Compact,25308.46161060921,white,36825.8996
5767,38,M,1.0,88,53434,0,1,Own,80040,9/1/2015,Tuesday,Local,3,0.0,92,Broker,0,0.0,1,Medium,55729.67653976639,blue,20786.21223
9205,26,F,0.0,83,52030,1,1,Rent,80104,6/22/2016,Wednesday,Local,0,0.0,67,Online,1,4081.02,1,Large,34980.57063324677,other,14742.20437
10684,47,F,1.0,58,78538,1,0,Own,20151,4/17/2015,Friday,Parking Lot,0,0.0,34,Broker,0,4373.5,1,Large,15000.0,black,32090.08377
11128,21,M,1.0,88,114708,0,0,Rent,50025,8/18/2016,Thursday,Local,11,0.0,76,Online,0,7881.47,1,Compact,15000.0,other,20584.87926
11118,45,F,0.0,63,72664,1,1,Own,15044,8/18/2016,Thursday,Parking Lot,5,0.0,44,Broker,1,7935.34,1,Large,16470.383204846195,silver,10624.66211
2227,38,M,1.0,87,66878,1,1,Own,50010,8/15/2016,Monday,Highway,2,0.0,96,Broker,0,0.0,1,Compact,15000.0,red,26734.44801
14925,29,M,1.0,89,82420,0,1,Rent,15032,4/24/2016,Sunday,Highway,0,0.0,95,Online,1,0.0,6,Medium,65293.67861249089,blue,15176.55595
3130,30,M,0.0,78,110862,1,0,Own,15009,12/9/2016,Friday,Local,7,0.0,3,Phone,0,3119.81,1,Compact,15000.0,gray,25890.63333
14957,54,F,1.0,61,57452,1,0,Own,15022,4/2/2015,Thursday,Parking Lot,9,1.0,97,Broker,0,502.54,1,Large,24111.186107915782,black,15716.06971
56,34,M,1.0,69,73910,1,1,Rent,15007,1/1/2016,Friday,Highway,0,1.0,49,Broker,1,4991.22,1,Compact,15000.0,silver,22542.57158
13623,40,M,1.0,75,123620,0,1,Rent,80109,8/21/2016,Sunday,Local,0,1.0,50,Broker,0,4241.58,3,Compact,28825.55321501801,other,10183.3783
8564,21,F,0.0,78,91361,1,1,Rent,85053,10/16/2016,Sunday,Parking Lot,0,0.0,50,Online,0,4847.75,1,Compact,31375.249519287827,silver,39119.25351
11380,53,F,1.0,46,62320,0,0,Rent,50023,2/21/2015,Saturday,Parking Lot,0,1.0,17,Phone,0,2655.96,6,Large,36607.31139165834,silver,25042.28926
5478,48,M,1.0,71,104345,1,0,Rent,15010,2/23/2016,Tuesday,Local,13,1.0,96,Phone,1,1847.84,1,Compact,15000.0,silver,20037.56291
6491,33,M,1.0,83,69581,1,1,Own,20118,8/22/2015,Saturday,Parking Lot,0,0.0,62,Broker,1,0.0,1,Compact,15000.0,black,13506.32328
7939,50,F,1.0,89,98147,1,1,Own,50025,3/12/2016,Saturday,Local,0,0.0,37,Phone,0,2157.82,1,Medium,28508.310947613463,silver,54033.02024
6368,34,M,1.0,85,86245,1,1,Rent,50010,7/25/2015,Saturday,Parking Lot,14,0.0,32,Phone,1,0.0,1,Large,34149.31869937853,red,10391.58943
11146,36,F,1.0,70,91864,1,0,Rent,50052,9/19/2015,Saturday,Parking Lot,16,1.0,0,Broker,1,0.0,1,Large,51734.24677282159,gray,14213.81495
486,63,F,1.0,68,42269,1,1,Rent,15012,1/20/2016,Wednesday,Local,8,0.0,50,Broker,1,0.0,7,Compact,15000.0,blue,28136.24559
2605,34,F,1.0,86,37658,1,0,Own,80035,1/16/2016,Saturday,Local,0,1.0,82,Phone,1,0.0,2,Large,94735.26080428448,blue,27619.44811
9442,42,M,1.0,75,35268,0,1,Own,15030,9/10/2015,Thursday,Parking Lot,5,0.0,79,Phone,1,8838.09,1,Large,34418.1032292039,other,27973.05803
4183,54,F,1.0,57,121337,1,0,Own,80101,10/1/2016,Saturday,Local,0,0.0,91,Broker,1,1195.5,9,Compact,15000.0,gray,32728.41008
11882,36,M,1.0,85,53063,0,0,Own,15027,11/25/2016,Friday,Parking Lot,3,0.0,68,Broker,1,9338.93,3,Large,82638.70849643633,other,11162.67775
11153,51,M,1.0,43,30400,1,0,Rent,15021,6/30/2015,Tuesday,Parking Lot,8,0.0,88,Broker,1,0.0,2,Compact,15000.0,black,24905.63089
16539,43,F,1.0,76,61510,1,1,Rent,80022,5/12/2015,Tuesday,Highway,0,0.0,26,Broker,1,1638.22,1,Large,36611.251551966845,gray,38879.48097
13592,51,F,1.0,90,59644,1,0,Own,15005,1/6/2016,Wednesday,Parking Lot,1,0.0,84,Phone,1,9578.2,6,Large,89639.15510463591,other,21460.5598
9382,35,M,1.0,86,75976,1,1,Rent,15046,11/12/2016,Saturday,Parking Lot,8,0.0,77,Broker,1,0.0,1,Medium,15000.0,silver,23624.57797
1739,38,F,0.0,65,74942,1,1,Own,20135,10/17/2015,Saturday,Local,0,0.0,84,Online,0,0.0,2,Large,15000.0,blue,11068.8619
16232,54,F,1.0,81,90010,1,1,Own,20107,10/29/2015,Thursday,Parking Lot,0,0.0,3,Broker,0,0.0,1,Medium,21092.37217372903,blue,43191.89504
6366,26,F,1.0,75,61250,1,0,Rent,20144,11/4/2016,Friday,Highway,2,0.0,8,Phone,1,0.0,1,Compact,15000.0,other,13399.78415
15873,55,M,1.0,75,57159,1,1,Own,85077,4/4/2015,Saturday,Highway,0,0.0,86,Phone,0,0.0,6,Compact,15001.048167930248,black,13450.206880000002
12425,44,M,0.0,44,32106,1,1,Own,15025,8/25/2016,Thursday,Highway,0,,69,Online,1,0.0,1,Large,69928.09619077134,blue,18277.72925
3308,34,F,1.0,86,79972,1,1,Own,50054,10/19/2015,Monday,Local,0,0.0,100,Phone,1,415.89,14,Large,15000.0,blue,41103.06244
9303,39,F,1.0,81,61187,0,0,Own,50047,1/27/2016,Wednesday,Local,4,0.0,10,Broker,1,0.0,1,Large,15000.0,red,23521.46371
1138,43,F,0.0,81,102658,1,1,Rent,85021,3/26/2016,Saturday,Local,6,1.0,99,Broker,0,6485.47,3,Medium,15000.0,red,10261.05732
15489,66,F,1.0,64,34728,1,1,Own,20111,1/11/2015,Sunday,Highway,0,1.0,82,Broker,1,0.0,8,Large,15000.0,black,19413.81091
13050,34,F,1.0,61,75007,1,1,Rent,80011,12/7/2016,Wednesday,Local,0,,0,Phone,0,3508.64,1,Large,15000.0,black,26186.8087
6538,44,F,1.0,60,110626,0,0,Own,80010,10/6/2016,Thursday,Parking Lot,7,0.0,41,Broker,1,0.0,1,Compact,72177.94903794142,other,17782.996059999998
4851,45,M,0.0,69,53678,1,1,Own,50005,8/24/2015,Monday,Local,10,1.0,80,Phone,1,4042.53,7,Compact,15000.0,silver,20114.08214
965,36,M,1.0,71,54830,1,0,Own,50037,9/18/2015,Friday,Local,4,0.0,85,Phone,0,12931.14,1,Compact,66133.54348029211,silver,29607.35218
8570,38,F,1.0,80,111182,1,1,Rent,80027,3/5/2016,Saturday,Highway,0,0.0,60,Online,1,889.49,2,Large,15000.0,other,12909.33006
3091,65,M,1.0,59,60438,1,0,Rent,80031,2/17/2016,Wednesday,Parking Lot,0,1.0,40,Phone,1,7802.54,1,Medium,15000.0,silver,46888.72686
14338,36,F,0.0,63,106380,0,1,Own,50005,6/22/2015,Monday,Highway,0,0.0,52,Broker,0,1307.72,1,Large,15000.0,black,32369.82006
2898,33,M,1.0,80,102565,1,0,Own,80106,1/20/2016,Wednesday,Parking Lot,4,0.0,99,Broker,0,0.0,1,Medium,49905.79107365967,blue,25132.6079
15487,58,F,1.0,91,105126,1,1,Own,85043,8/15/2016,Monday,Local,0,,33,Online,1,0.0,2,Large,15000.0,other,27106.07113
17700,51,F,0.0,73,65853,1,1,Own,15019,4/17/2016,Sunday,Local,2,0.0,100,Phone,1,0.0,6,Large,15000.0,blue,14039.41764
6647,51,M,1.0,91,91078,0,1,Rent,85065,12/22/2015,Tuesday,Parking Lot,11,1.0,6,Broker,0,2841.73,1,Compact,15000.0,other,28941.60199
13430,38,M,1.0,54,122034,1,1,Own,80014,5/21/2015,Thursday,Local,9,1.0,63,Broker,0,1137.58,1,Compact,15000.0,silver,39981.26624
